logFC,logCPM,F,PValue,FDR,feature,n_cells_found,mean_counts,name
0.752884757740552,11.4045179826757,3.83901357298297,0.0528352335823346,0.116098473792762,mmu-mir-203,39,2.33333333333333,mmu-mir-203
0.797851254762889,10.9569551729522,3.60991862654471,0.0596135888013771,0.129291809478311,mmu-mir-6349,31,1.03508771929825,mmu-mir-6349
0.897425296512706,11.0737183914526,3.58364469467521,0.060702339526729,0.129965265396971,mmu-mir-702,27,1.2280701754386,mmu-mir-702
0.729828515015503,10.9571258377026,3.52798849675747,0.0625472698529615,0.132220178043602,mmu-mir-676,34,1.01754385964912,mmu-mir-676
0.236423373900052,14.0701344682655,3.51850651936113,0.0654495851362122,0.136626008971843,mmu-let-7a-2,56,24.2280701754386,mmu-let-7a-2
0.531804928541126,11.8668090501404,3.33534522955354,0.0716911447582462,0.147807668822557,mmu-mir-3063,52,3.73684210526316,mmu-mir-3063
0.547456346529485,12.0947874633158,3.18241952976292,0.0786228529888936,0.160122151818844,mmu-mir-342,48,4.87719298245614,mmu-mir-342
-0.762073218221927,11.0677445816012,2.94365469367861,0.088812772693102,0.178695578792145,mmu-mir-3535,30,1.26315789473684,mmu-mir-3535
0.72617148008113,11.0171193175874,2.87885128109122,0.0921829098056309,0.183268404018338,mmu-mir-5108,31,1.15789473684211,mmu-mir-5108
-0.817040434395222,10.812863523198,2.86103437394469,0.0932825689761482,0.183272811988432,mmu-mir-1839,23,0.701754385964912,mmu-mir-1839
0.625715879910527,11.5660210442393,2.7271826090942,0.101859316145903,0.19779657902751,mmu-mir-329,35,2.92982456140351,mmu-mir-329
0.675608341379741,11.2962805418288,2.58489088684912,0.110951762175324,0.212976371072173,mmu-mir-6383,38,1.71929824561404,mmu-mir-6383
0.575420438543207,11.6116293775545,2.51122715057573,0.11665726690004,0.221383676958031,mmu-mir-3475,40,3.03508771929825,mmu-mir-3475
0.48439739237942,12.5770822619051,2.46912725710086,0.12071633825777,0.22651267965222,mmu-mir-688,50,7.70175438596491,mmu-mir-688
0.882488174639071,11.5165007288921,2.40370208727581,0.124450118519077,0.230834673757448,mmu-mir-767,25,2.12280701754386,mmu-mir-767
0.760486949406106,11.2514385273023,2.37926840495625,0.125784163544478,0.230834673757448,mmu-mir-511,32,1.52631578947368,mmu-mir-511
0.552572717532831,11.8700432278465,2.31112186562522,0.132269838837425,0.240098511802718,mmu-mir-6238,40,4.03508771929825,mmu-mir-6238
